iter	Logloss
0	0.6891932256
1	0.6842185229
2	0.6795640193
3	0.6747101652
4	0.6700761151
5	0.6657927696
6	0.6615245462
7	0.6571702639
8	0.6531821258
9	0.6494740797
10	0.6454321883
11	0.6415840905
12	0.6370106947
13	0.6337671978
14	0.6305940444
15	0.6265832286
16	0.6232125651
17	0.6198116489
18	0.6168821373
19	0.6138673492
20	0.6102684938
21	0.606747488
22	0.6036945311
23	0.6007327068
24	0.5977605122
25	0.5951570773
26	0.5923598484
27	0.5895184876
28	0.5869319635
29	0.5846224049
30	0.5822473682
31	0.5794673865
32	0.5770069123
33	0.5745561428
34	0.5716292145
35	0.5695816653
36	0.5675239385
37	0.5656169583
38	0.5636702505
39	0.5616460901
40	0.5589834085
41	0.556832202
42	0.5543426007
43	0.5523297135
44	0.550216154
45	0.5482890073
46	0.5463522
47	0.5444752562
48	0.5429336883
49	0.5404718381
50	0.5390532453
51	0.5382301108
52	0.5366728784
53	0.5347548577
54	0.5333461202
55	0.5318927368
56	0.5306045115
57	0.5285711827
58	0.5272910388
59	0.5259393536
60	0.5247989075
61	0.5235517638
62	0.5223389453
63	0.5211419235
64	0.5198808665
65	0.5187123114
66	0.517444715
67	0.5155267918
68	0.5140356332
69	0.5129284224
70	0.5117846925
71	0.5102828542
72	0.5094250943
73	0.5087034848
74	0.5074501135
75	0.5062104962
76	0.5049489167
77	0.5040805964
78	0.5027695213
79	0.5020021273
80	0.5010605142
81	0.4998872918
82	0.4984797931
83	0.4975197229
84	0.4961748175
85	0.4954935458
86	0.4946877074
87	0.4937728207
88	0.4925552011
89	0.4921266665
90	0.4909650256
91	0.4901880235
92	0.4895158482
93	0.4884245815
94	0.4874419728
95	0.4866880965
96	0.4857561756
97	0.4847862819
98	0.4841607778
99	0.4834135273
100	0.4825946321
101	0.4820361949
102	0.4814822222
103	0.4811127242
104	0.4802346297
105	0.4790968226
106	0.4785258237
107	0.4777656128
108	0.4772158459
109	0.4770200895
110	0.4766454848
111	0.4757738209
112	0.4750518706
113	0.4745314102
114	0.4739882271
115	0.4738223746
116	0.4732595948
117	0.4723459649
118	0.4713813429
119	0.4709379975
120	0.4704011683
121	0.4696178801
122	0.4688162546
123	0.4683927467
124	0.4676603905
125	0.4671298537
126	0.4660856032
127	0.4654248938
128	0.4649576231
129	0.4644715089
130	0.4635412825
131	0.4626497208
132	0.4618195232
133	0.4608914079
134	0.4604024592
135	0.4597634448
136	0.4594862929
137	0.4588115071
138	0.4580827273
139	0.45725689
140	0.4568665041
141	0.4560944759
142	0.4556041811
143	0.4548762789
144	0.4543393334
145	0.4537095164
146	0.4528273903
147	0.4522245679
148	0.4516533869
149	0.4512733786
150	0.4504500423
151	0.450041145
152	0.4493561648
153	0.4486610898
154	0.448115776
155	0.4476858933
156	0.4471574944
157	0.4462294063
158	0.4456069159
159	0.4451384753
160	0.444813985
161	0.444546652
162	0.4439546421
163	0.4429589463
164	0.4423383714
165	0.4414068778
166	0.4409555743
167	0.4403918733
168	0.4399187436
169	0.4392125658
170	0.4389671829
171	0.4387310069
172	0.4378270656
173	0.437387826
174	0.4368385642
175	0.4360252151
176	0.4356387973
177	0.4352640532
178	0.4348828779
179	0.4342756752
180	0.4338922959
181	0.4334297212
182	0.4331555362
183	0.4327512636
184	0.4323701767
185	0.4317961844
186	0.4315035568
187	0.4310297003
188	0.4301024966
189	0.4296730174
190	0.4293705877
191	0.429117742
192	0.4284843519
193	0.4279649603
194	0.4274500102
195	0.4269185981
196	0.426219174
197	0.4255653613
198	0.4253012372
199	0.424583547
200	0.4239495818
201	0.423232146
202	0.4229079666
203	0.4224046589
204	0.4219337254
205	0.4215160546
206	0.4209123144
207	0.4205416325
208	0.4200204389
209	0.4194573741
210	0.4187781777
211	0.4183524727
212	0.4174966355
213	0.4169359738
214	0.4164838076
215	0.4162365404
216	0.4155980649
217	0.4151058544
218	0.4148549454
219	0.4144261097
220	0.4140416231
221	0.4136545102
222	0.413096621
223	0.412586881
224	0.4120603241
225	0.4114101306
226	0.4111280826
227	0.41082624
228	0.4105126303
229	0.4101045625
230	0.4097451438
231	0.4095460986
232	0.4091218789
233	0.4085968296
234	0.4080781213
235	0.4076344684
236	0.4069475098
237	0.4065648136
238	0.4062333914
239	0.4058127803
240	0.4053403032
241	0.4048794458
242	0.4046865448
243	0.4042186818
244	0.4038660363
245	0.4034534954
246	0.4029504041
247	0.4025064901
248	0.4022581125
249	0.4017565127
250	0.4014068841
251	0.4006239419
252	0.4002161686
253	0.399824173
254	0.3993320121
255	0.3989196114
256	0.3985728905
257	0.3982477643
258	0.3976161252
259	0.3972917644
260	0.3968687077
261	0.3965726389
262	0.3962374172
263	0.3954958314
264	0.3947732475
265	0.3943543907
266	0.3940948945
267	0.3935190176
268	0.3929255277
269	0.3927218698
270	0.3925258121
271	0.3921538114
272	0.3918468876
273	0.3914281166
274	0.3911101726
275	0.3907595376
276	0.3905724831
277	0.390119901
278	0.389417405
279	0.3890009132
280	0.3882668012
281	0.3879256877
282	0.3872406327
283	0.386889294
284	0.3867176961
285	0.3863995101
286	0.3860705345
287	0.3855823221
288	0.3852276694
289	0.3848177283
290	0.3844223957
291	0.3842040637
292	0.3838143837
293	0.3835630328
294	0.3832510494
295	0.3829494414
