iter	Passed	Remaining
0	5	2684
1	23	5432
2	42	6375
3	60	6813
4	77	7026
5	96	7204
6	113	7304
7	131	7370
8	159	7933
9	185	8286
10	205	8329
11	224	8317
12	243	8293
13	261	8241
14	280	8244
15	298	8217
16	316	8180
17	335	8152
18	352	8111
19	370	8075
20	388	8041
21	407	8029
22	424	8000
23	443	7974
24	461	7947
25	478	7912
26	496	7892
27	515	7874
28	534	7865
29	552	7841
30	569	7811
31	587	7790
32	606	7772
33	624	7746
34	642	7727
35	660	7702
36	677	7675
37	695	7650
38	713	7630
39	732	7614
40	751	7602
41	768	7578
42	787	7566
43	805	7546
44	823	7521
45	841	7499
46	859	7479
47	877	7460
48	895	7440
49	914	7427
50	932	7404
51	937	7282
52	955	7263
53	973	7247
54	991	7226
55	1008	7206
56	1026	7185
57	1044	7169
58	1063	7155
59	1081	7140
60	1099	7122
61	1119	7112
62	1136	7092
63	1154	7072
64	1172	7054
65	1190	7037
66	1209	7020
67	1228	7007
68	1245	6987
69	1263	6967
70	1281	6948
71	1299	6930
72	1317	6913
73	1336	6896
74	1354	6882
75	1373	6865
76	1391	6846
77	1409	6829
78	1427	6812
79	1446	6796
80	1463	6777
81	1483	6763
82	1501	6748
83	1519	6729
84	1537	6712
85	1555	6692
86	1573	6675
87	1591	6657
88	1609	6638
89	1614	6566
90	1632	6549
91	1650	6532
92	1668	6513
93	1686	6496
94	1704	6477
95	1723	6461
96	1740	6441
97	1758	6424
98	1777	6409
99	1796	6395
100	1815	6380
101	1832	6360
102	1850	6341
103	1856	6281
104	1874	6265
105	1892	6249
106	1910	6231
107	1928	6215
108	1946	6195
109	1949	6133
110	1957	6082
111	1974	6065
112	1993	6050
113	2011	6033
114	2029	6019
115	2033	5960
116	2051	5944
117	2069	5928
118	2088	5913
119	2105	5895
120	2123	5880
121	2142	5865
122	2160	5848
123	2178	5832
124	2197	5818
125	2215	5802
126	2233	5786
127	2251	5769
128	2269	5751
129	2287	5735
130	2304	5718
131	2323	5702
132	2342	5689
133	2361	5675
134	2379	5658
135	2398	5643
136	2415	5625
137	2433	5607
138	2452	5592
139	2470	5576
140	2488	5560
141	2506	5543
142	2525	5526
143	2543	5511
144	2561	5493
145	2579	5476
146	2597	5460
147	2615	5443
148	2633	5426
149	2651	5408
150	2669	5391
151	2687	5374
152	2705	5358
153	2724	5342
154	2742	5326
155	2760	5308
156	2778	5291
157	2797	5275
158	2815	5258
159	2832	5240
160	2850	5223
161	2868	5205
162	2886	5189
163	2904	5171
164	2922	5154
165	2942	5139
166	2959	5122
167	2978	5106
168	2997	5089
169	3015	5073
170	3033	5056
171	3051	5038
172	3069	5021
173	3088	5005
174	3106	4987
175	3124	4970
176	3142	4953
177	3160	4936
178	3179	4919
179	3197	4902
180	3214	4884
181	3232	4866
182	3250	4849
183	3269	4833
184	3288	4816
185	3306	4799
186	3324	4782
187	3343	4766
188	3361	4748
189	3378	4730
190	3396	4712
191	3414	4694
192	3432	4677
193	3450	4659
194	3468	4642
195	3486	4625
196	3505	4608
197	3523	4591
198	3542	4574
199	3560	4557
200	3579	4540
201	3597	4523
202	3615	4505
203	3633	4488
204	3651	4470
205	3669	4453
206	3687	4436
207	3706	4418
208	3724	4401
209	3743	4384
210	3761	4367
211	3779	4349
212	3797	4331
213	3815	4315
214	3834	4297
215	3851	4279
216	3870	4262
217	3891	4248
218	3909	4230
219	3926	4212
220	3945	4195
221	3963	4177
222	3981	4160
223	4000	4143
224	4019	4126
225	4037	4108
226	4055	4090
227	4073	4073
228	4091	4055
229	4109	4038
230	4127	4020
231	4146	4003
232	4164	3985
233	4183	3968
234	4201	3951
235	4220	3934
236	4238	3916
237	4257	3899
238	4275	3882
239	4293	3864
240	4312	3846
241	4329	3828
242	4347	3811
243	4366	3793
244	4385	3776
245	4403	3758
246	4421	3741
247	4440	3724
248	4458	3706
249	4475	3688
250	4494	3670
251	4512	3653
252	4531	3635
253	4549	3617
254	4567	3600
255	4585	3582
256	4603	3564
257	4622	3547
258	4640	3529
259	4658	3512
260	4677	3494
261	4695	3476
262	4712	3458
263	4731	3440
264	4749	3423
265	4767	3405
266	4786	3387
267	4805	3370
268	4823	3353
269	4841	3335
270	4859	3317
271	4877	3299
272	4894	3281
273	4912	3263
274	4930	3245
275	4949	3227
276	4967	3209
277	4985	3192
278	5004	3175
279	5022	3156
280	5040	3139
281	5058	3121
282	5076	3103
283	5095	3085
284	5113	3068
285	5131	3050
286	5149	3032
287	5167	3014
288	5185	2996
289	5204	2978
290	5221	2960
291	5238	2942
292	5256	2924
293	5275	2906
294	5294	2889
295	5311	2871
296	5329	2853
297	5347	2835
298	5365	2817
299	5383	2799
300	5401	2781
301	5419	2763
302	5437	2745
303	5456	2728
304	5474	2710
305	5492	2692
306	5510	2674
307	5528	2656
308	5546	2638
309	5564	2620
310	5583	2603
311	5601	2585
312	5619	2567
313	5637	2549
314	5655	2531
315	5673	2513
316	5677	2489
317	5695	2471
318	5712	2453
319	5731	2435
320	5748	2417
321	5766	2399
322	5784	2381
323	5801	2363
324	5819	2345
325	5836	2327
326	5854	2309
327	5872	2291
328	5890	2273
329	5909	2256
330	5927	2238
331	5944	2220
332	5970	2205
333	5988	2187
334	6005	2169
335	6023	2151
336	6041	2133
337	6059	2115
338	6078	2097
339	6096	2079
340	6114	2062
341	6133	2044
342	6150	2026
343	6168	2008
344	6186	1990
345	6204	1972
346	6222	1954
347	6240	1936
348	6259	1919
349	6277	1901
350	6296	1883
351	6314	1865
352	6332	1847
353	6350	1829
354	6368	1811
355	6386	1794
356	6405	1776
357	6408	1754
358	6426	1736
359	6444	1718
360	6462	1700
361	6480	1682
362	6498	1664
363	6516	1647
364	6534	1629
365	6553	1611
366	6570	1593
367	6589	1575
368	6607	1557
369	6625	1540
370	6643	1522
371	6662	1504
372	6681	1486
373	6699	1468
374	6716	1450
375	6734	1432
376	6752	1415
377	6770	1397
378	6788	1379
379	6807	1361
380	6825	1343
381	6843	1325
382	6862	1307
383	6880	1290
384	6898	1272
385	6916	1254
386	6934	1236
387	6941	1216
388	6959	1198
389	6977	1180
390	6995	1162
391	7013	1145
392	7031	1127
393	7049	1109
394	7067	1091
395	7086	1073
396	7105	1055
397	7123	1038
398	7141	1020
399	7159	1002
400	7177	984
401	7196	966
402	7214	948
403	7232	930
404	7250	913
405	7269	895
406	7287	877
407	7293	858
408	7310	840
409	7328	822
410	7346	804
411	7363	786
412	7381	768
413	7399	750
414	7416	732
415	7435	714
416	7453	697
417	7471	679
418	7489	661
419	7507	643
420	7526	625
421	7543	607
422	7561	589
423	7579	572
424	7597	554
425	7615	536
426	7633	518
427	7651	500
428	7669	482
429	7688	464
430	7706	446
431	7725	429
432	7742	411
433	7760	393
434	7778	375
435	7797	357
436	7814	339
437	7833	321
438	7851	304
439	7869	286
440	7886	268
441	7905	250
442	7924	232
443	7941	214
444	7959	196
445	7978	178
446	7996	160
447	8013	143
448	8031	125
449	8049	107
450	8067	89
451	8086	71
452	8104	53
453	8122	35
454	8140	17
455	8159	0
